timestamp;buyer;seller;symbol;currency;price;quantity
200;SUBMISSION;BOT;INTARIAN_PEPPER_ROOT;XIRECS;13007.0;10
300;SUBMISSION;BOT;INTARIAN_PEPPER_ROOT;XIRECS;13007.0;8
400;SUBMISSION;BOT;INTARIAN_PEPPER_ROOT;XIRECS;13007.0;11
500;SUBMISSION;BOT;INTARIAN_PEPPER_ROOT;XIRECS;13007.0;12
600;SUBMISSION;BOT;INTARIAN_PEPPER_ROOT;XIRECS;13007.0;8
700;SUBMISSION;BOT;INTARIAN_PEPPER_ROOT;XIRECS;13007.0;10
800;SUBMISSION;BOT;INTARIAN_PEPPER_ROOT;XIRECS;13007.0;9
900;SUBMISSION;BOT;INTARIAN_PEPPER_ROOT;XIRECS;13007.0;10
1300;SUBMISSION;BOT;ASH_COATED_OSMIUM;XIRECS;9997.0;7
4300;BOT_TAKER;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;10003.0;3
4500;SUBMISSION;BOT_TAKER;ASH_COATED_OSMIUM;XIRECS;9994.0;5
4900;SUBMISSION;BOT;INTARIAN_PEPPER_ROOT;XIRECS;13000.0;2
5100;BOT_TAKER;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;10008.0;10
5800;BOT_TAKER;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;10008.0;2
6000;BOT_MAKER;BOT_TAKER;INTARIAN_PEPPER_ROOT;XIRECS;13000.0;7
9700;BOT_TAKER;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;10008.0;4
12700;SUBMISSION;BOT_TAKER;ASH_COATED_OSMIUM;XIRECS;9994.0;3
13100;BOT_MAKER;BOT_TAKER;INTARIAN_PEPPER_ROOT;XIRECS;13007.0;7
13700;BOT_TAKER;SUBMISSION;INTARIAN_PEPPER_ROOT;XIRECS;13022.0;5
13900;BOT_TAKER;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;10008.0;5
14500;SUBMISSION;BOT;INTARIAN_PEPPER_ROOT;XIRECS;13010.0;5
14800;SUBMISSION;BOT_TAKER;ASH_COATED_OSMIUM;XIRECS;9994.0;7
15900;BOT_TAKER;SUBMISSION;INTARIAN_PEPPER_ROOT;XIRECS;13021.0;5
16400;SUBMISSION;BOT;ASH_COATED_OSMIUM;XIRECS;9998.0;9
18300;BOT_TAKER;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;10008.0;8
19300;BOT_TAKER;SUBMISSION;INTARIAN_PEPPER_ROOT;XIRECS;13025.0;4
20100;SUBMISSION;BOT;ASH_COATED_OSMIUM;XIRECS;9997.0;12
20700;BOT_TAKER;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;10008.0;4
20800;SUBMISSION;BOT;INTARIAN_PEPPER_ROOT;XIRECS;13017.0;5
22100;SUBMISSION;BOT_TAKER;ASH_COATED_OSMIUM;XIRECS;9994.0;4
23900;BOT_TAKER;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;10008.0;4
