day;timestamp;product;fair_value;position;cash;mtm_pnl
1;0;ASH_COATED_OSMIUM;10001.0;0;0.0;0.0
1;0;INTARIAN_PEPPER_ROOT;13000.0;10;-130070.0;-70.0
1;100;ASH_COATED_OSMIUM;10001.0;0;0.0;0.0
1;100;INTARIAN_PEPPER_ROOT;13000.1;10;-130070.0;-69.0
1;200;ASH_COATED_OSMIUM;10001.0;0;0.0;0.0
1;200;INTARIAN_PEPPER_ROOT;13000.2;20;-260140.0;-136.0
1;300;ASH_COATED_OSMIUM;10001.0;0;0.0;0.0
1;300;INTARIAN_PEPPER_ROOT;13000.3;28;-364196.0;-187.60000000003492
1;400;ASH_COATED_OSMIUM;10001.0;0;0.0;0.0
1;400;INTARIAN_PEPPER_ROOT;13000.4;39;-507273.0;-257.4000000000233
1;500;ASH_COATED_OSMIUM;10001.0;0;0.0;0.0
1;500;INTARIAN_PEPPER_ROOT;13000.5;51;-663357.0;-331.5
1;600;ASH_COATED_OSMIUM;10001.0;0;0.0;0.0
1;600;INTARIAN_PEPPER_ROOT;13000.6;59;-767413.0;-377.5999999999767
1;700;ASH_COATED_OSMIUM;10001.0;0;0.0;0.0
1;700;INTARIAN_PEPPER_ROOT;13000.7;69;-897483.0;-434.69999999995343
1;800;ASH_COATED_OSMIUM;10001.0;0;0.0;0.0
1;800;INTARIAN_PEPPER_ROOT;13000.8;78;-1014546.0;-483.60000000009313
1;900;ASH_COATED_OSMIUM;10001.0;0;0.0;0.0
1;900;INTARIAN_PEPPER_ROOT;13000.9;78;-1014546.0;-475.80000000004657
1;1000;ASH_COATED_OSMIUM;10001.0;0;0.0;0.0
1;1000;INTARIAN_PEPPER_ROOT;13001.0;78;-1014546.0;-468.0
1;1100;ASH_COATED_OSMIUM;10001.0;0;0.0;0.0
1;1100;INTARIAN_PEPPER_ROOT;13001.1;78;-1014546.0;-460.19999999995343
1;1200;ASH_COATED_OSMIUM;10001.0;0;0.0;0.0
1;1200;INTARIAN_PEPPER_ROOT;13001.2;78;-1014546.0;-452.39999999990687
1;1300;ASH_COATED_OSMIUM;10001.0;7;-69979.0;28.0
1;1300;INTARIAN_PEPPER_ROOT;13001.3;78;-1014546.0;-444.60000000009313
1;1400;ASH_COATED_OSMIUM;10001.0;7;-69979.0;28.0
1;1400;INTARIAN_PEPPER_ROOT;13001.4;78;-1014546.0;-436.80000000004657
1;1500;ASH_COATED_OSMIUM;10001.0;7;-69979.0;28.0
1;1500;INTARIAN_PEPPER_ROOT;13001.5;78;-1014546.0;-429.0
1;1600;ASH_COATED_OSMIUM;10001.0;7;-69979.0;28.0
1;1600;INTARIAN_PEPPER_ROOT;13001.6;78;-1014546.0;-421.19999999995343
1;1700;ASH_COATED_OSMIUM;10001.0;7;-69979.0;28.0
1;1700;INTARIAN_PEPPER_ROOT;13001.7;78;-1014546.0;-413.39999999990687
1;1800;ASH_COATED_OSMIUM;10001.0;7;-69979.0;28.0
1;1800;INTARIAN_PEPPER_ROOT;13001.8;78;-1014546.0;-405.60000000009313
1;1900;ASH_COATED_OSMIUM;10001.0;7;-69979.0;28.0
1;1900;INTARIAN_PEPPER_ROOT;13001.9;78;-1014546.0;-397.80000000004657
1;2000;ASH_COATED_OSMIUM;10001.0;7;-69979.0;28.0
1;2000;INTARIAN_PEPPER_ROOT;13002.0;78;-1014546.0;-390.0
1;2100;ASH_COATED_OSMIUM;10001.0;7;-69979.0;28.0
1;2100;INTARIAN_PEPPER_ROOT;13002.1;78;-1014546.0;-382.19999999995343
1;2200;ASH_COATED_OSMIUM;10001.0;7;-69979.0;28.0
