timestamp,symbol,side,price,quantity
300,ASH_COATED_OSMIUM,SELL,10006.0,4
500,INTARIAN_PEPPER_ROOT,BUY,13007.0,10
1400,INTARIAN_PEPPER_ROOT,BUY,13008.0,10
3100,ASH_COATED_OSMIUM,SELL,10019.0,6
3400,ASH_COATED_OSMIUM,SELL,10011.0,6
3400,INTARIAN_PEPPER_ROOT,BUY,13010.0,11
4800,ASH_COATED_OSMIUM,SELL,10006.0,3
5600,ASH_COATED_OSMIUM,BUY,9999.0,8
6400,INTARIAN_PEPPER_ROOT,BUY,13000.0,4
7100,ASH_COATED_OSMIUM,SELL,10010.0,9
7400,INTARIAN_PEPPER_ROOT,BUY,13014.0,8
7500,ASH_COATED_OSMIUM,SELL,10016.0,5
8400,ASH_COATED_OSMIUM,SELL,10007.0,3
9400,INTARIAN_PEPPER_ROOT,BUY,13016.0,11
9900,ASH_COATED_OSMIUM,SELL,10008.0,5
10600,ASH_COATED_OSMIUM,SELL,10015.0,10
11400,INTARIAN_PEPPER_ROOT,BUY,13018.0,10
12300,ASH_COATED_OSMIUM,BUY,9998.0,6
13400,INTARIAN_PEPPER_ROOT,BUY,13020.0,8
14200,ASH_COATED_OSMIUM,SELL,10002.0,4
14600,ASH_COATED_OSMIUM,SELL,10011.0,4
16800,ASH_COATED_OSMIUM,SELL,10008.0,7
17600,ASH_COATED_OSMIUM,SELL,10013.0,4
18000,ASH_COATED_OSMIUM,BUY,9998.0,8
19200,ASH_COATED_OSMIUM,SELL,10012.0,2
19300,ASH_COATED_OSMIUM,SELL,10006.0,7
19300,INTARIAN_PEPPER_ROOT,BUY,13015.0,5
19400,ASH_COATED_OSMIUM,SELL,10012.0,9
19500,ASH_COATED_OSMIUM,BUY,9996.0,10
20200,INTARIAN_PEPPER_ROOT,BUY,13016.0,3
20300,ASH_COATED_OSMIUM,SELL,10011.0,2
22000,ASH_COATED_OSMIUM,SELL,10005.0,6
22500,ASH_COATED_OSMIUM,BUY,9996.0,5
22800,INTARIAN_PEPPER_ROOT,SELL,13029.0,4
23000,ASH_COATED_OSMIUM,SELL,10010.0,4
24300,ASH_COATED_OSMIUM,SELL,10010.0,4
26400,ASH_COATED_OSMIUM,BUY,9998.0,10
26500,ASH_COATED_OSMIUM,BUY,9998.0,5
