timestamp,symbol,buyer,seller,price,quantity,currency
300,ASH_COATED_OSMIUM,,SUBMISSION,10006.0,4,XIRECS
500,INTARIAN_PEPPER_ROOT,SUBMISSION,,13007.0,10,XIRECS
1000,ASH_COATED_OSMIUM,,,10001.0,3,XIRECS
1400,INTARIAN_PEPPER_ROOT,SUBMISSION,,13008.0,10,XIRECS
3100,ASH_COATED_OSMIUM,,SUBMISSION,10019.0,6,XIRECS
3400,ASH_COATED_OSMIUM,,SUBMISSION,10011.0,6,XIRECS
3400,INTARIAN_PEPPER_ROOT,SUBMISSION,,13010.0,11,XIRECS
4800,ASH_COATED_OSMIUM,,SUBMISSION,10006.0,3,XIRECS
5600,ASH_COATED_OSMIUM,SUBMISSION,,9999.0,8,XIRECS
6400,INTARIAN_PEPPER_ROOT,SUBMISSION,,13000.0,4,XIRECS
7100,ASH_COATED_OSMIUM,,SUBMISSION,10010.0,9,XIRECS
7400,INTARIAN_PEPPER_ROOT,SUBMISSION,,13014.0,8,XIRECS
7500,ASH_COATED_OSMIUM,,SUBMISSION,10016.0,5,XIRECS
8400,ASH_COATED_OSMIUM,,SUBMISSION,10007.0,3,XIRECS
9400,INTARIAN_PEPPER_ROOT,SUBMISSION,,13016.0,11,XIRECS
9900,ASH_COATED_OSMIUM,,SUBMISSION,10008.0,5,XIRECS
9900,ASH_COATED_OSMIUM,,,9996.0,6,XIRECS
10100,INTARIAN_PEPPER_ROOT,,,13017.0,6,XIRECS
10600,ASH_COATED_OSMIUM,,SUBMISSION,10015.0,10,XIRECS
11400,INTARIAN_PEPPER_ROOT,SUBMISSION,,13018.0,10,XIRECS
12300,ASH_COATED_OSMIUM,SUBMISSION,,9998.0,6,XIRECS
13400,INTARIAN_PEPPER_ROOT,SUBMISSION,,13020.0,8,XIRECS
14200,ASH_COATED_OSMIUM,,SUBMISSION,10002.0,4,XIRECS
14600,ASH_COATED_OSMIUM,,SUBMISSION,10011.0,4,XIRECS
16800,ASH_COATED_OSMIUM,,SUBMISSION,10008.0,7,XIRECS
17600,ASH_COATED_OSMIUM,,SUBMISSION,10013.0,4,XIRECS
18000,ASH_COATED_OSMIUM,SUBMISSION,,9998.0,8,XIRECS
19200,ASH_COATED_OSMIUM,,SUBMISSION,10012.0,2,XIRECS
19300,ASH_COATED_OSMIUM,,SUBMISSION,10006.0,7,XIRECS
19300,INTARIAN_PEPPER_ROOT,SUBMISSION,,13015.0,5,XIRECS
19400,ASH_COATED_OSMIUM,,SUBMISSION,10012.0,9,XIRECS
19500,ASH_COATED_OSMIUM,SUBMISSION,,9996.0,10,XIRECS
20200,INTARIAN_PEPPER_ROOT,SUBMISSION,,13016.0,3,XIRECS
20200,INTARIAN_PEPPER_ROOT,,,13016.0,2,XIRECS
20300,ASH_COATED_OSMIUM,,SUBMISSION,10011.0,2,XIRECS
21900,INTARIAN_PEPPER_ROOT,,,13015.0,3,XIRECS
22000,ASH_COATED_OSMIUM,,SUBMISSION,10005.0,6,XIRECS
22500,ASH_COATED_OSMIUM,SUBMISSION,,9996.0,5,XIRECS
22800,INTARIAN_PEPPER_ROOT,,SUBMISSION,13029.0,4,XIRECS
23000,ASH_COATED_OSMIUM,,SUBMISSION,10010.0,4,XIRECS
24300,ASH_COATED_OSMIUM,,SUBMISSION,10010.0,4,XIRECS
26400,ASH_COATED_OSMIUM,SUBMISSION,,9998.0,10,XIRECS
26500,ASH_COATED_OSMIUM,SUBMISSION,,9998.0,5,XIRECS
28200,ASH_COATED_OSMIUM,,SUBMISSION,10007.0,5,XIRECS
28800,ASH_COATED_OSMIUM,SUBMISSION,,9992.0,10,XIRECS
28800,INTARIAN_PEPPER_ROOT,,SUBMISSION,13035.0,4,XIRECS
29000,ASH_COATED_OSMIUM,SUBMISSION,,9990.0,6,XIRECS
29300,INTARIAN_PEPPER_ROOT,SUBMISSION,,13025.0,4,XIRECS
31700,INTARIAN_PEPPER_ROOT,,,13035.0,4,XIRECS
33800,ASH_COATED_OSMIUM,,,9992.0,10,XIRECS
34000,INTARIAN_PEPPER_ROOT,SUBMISSION,,13028.0,4,XIRECS
36200,ASH_COATED_OSMIUM,SUBMISSION,,9995.0,3,XIRECS
36900,ASH_COATED_OSMIUM,SUBMISSION,,9993.0,3,XIRECS
37600,ASH_COATED_OSMIUM,,SUBMISSION,10010.0,9,XIRECS
38500,ASH_COATED_OSMIUM,,SUBMISSION,10007.0,9,XIRECS
40400,INTARIAN_PEPPER_ROOT,,,13033.0,6,XIRECS
41300,INTARIAN_PEPPER_ROOT,,,13034.0,7,XIRECS
41700,ASH_COATED_OSMIUM,,SUBMISSION,10009.0,8,XIRECS
43100,ASH_COATED_OSMIUM,SUBMISSION,,9994.0,2,XIRECS
43300,ASH_COATED_OSMIUM,,SUBMISSION,10008.0,6,XIRECS
43600,INTARIAN_PEPPER_ROOT,,,13039.0,4,XIRECS
