timestamp,value
0,0.0
2000,-126.98828125
4000,-64.25
6000,52.28125
8000,179.8125
10000,219.875
12000,437.25
14000,584.84375
16000,699.75
18000,906.125
20000,1385.5
22000,1599.875
24000,1808.3125
26000,2145.3125
28000,2432.15625
30000,2829.96875
32000,2964.34375
34000,3020.84375
36000,3183.21875
38000,3567.28125
40000,3819.375
42000,3939.25
44000,4181.1875
46000,4276.625
48000,4444.9375
50000,4716.96875
52000,4913.4375
54000,5074.0625
56000,5344.3125
58000,5623.0
60000,5677.0625
62000,5888.125
64000,6103.1875
66000,6285.1875
68000,6289.75
70000,6933.5625
72000,7146.0625
74000,7389.625
76000,7537.5625
78000,7852.9375
80000,7963.1875
82000,8160.625
84000,8362.875
86000,8818.6875
88000,9053.8125
90000,9238.0
92000,9439.625
94000,9587.5625
96000,9811.9375
98000,10024.625
100000,10108.75
102000,10285.8125
104000,10434.1875
106000,10618.375
108000,10739.0625
110000,10928.3125
112000,11266.8125
114000,11533.625
116000,11730.6875
118000,11930.75
120000,12242.5
122000,12329.5
124000,12636.75
126000,12829.8125
128000,13031.0625
130000,13217.5
132000,13408.375
134000,13481.9375
136000,13581.75
138000,13738.84375
140000,13939.8125
142000,14022.5625
144000,14251.0
146000,14374.1875
148000,14668.375
150000,14975.25
152000,14934.375
154000,15091.0
156000,15277.5
158000,15694.25
160000,15796.5
162000,15868.875
164000,16017.375
166000,16148.25
168000,16325.875
170000,16522.75
172000,16783.0
174000,16772.1875
176000,16820.5
178000,16921.375
180000,17265.1875
182000,17401.4375
184000,17665.0
186000,17805.0625
188000,17978.875
190000,17988.375
192000,18425.6875
194000,18814.9375
196000,19186.6875
198000,19286.875
200000,19591.0
202000,19971.625
204000,20149.8125
206000,20375.1875
208000,20559.6875
210000,20541.875
212000,20694.875
214000,20828.9375
216000,21020.8125
218000,21189.375
220000,21653.9375
222000,22013.25
224000,22073.375
226000,22395.6875
228000,22573.75
230000,22629.375
232000,23035.25
234000,23253.5
236000,23392.25
238000,23688.4375
240000,23908.75
242000,24022.125
244000,24227.03125
246000,24461.25
248000,24667.40625
250000,24797.8125
252000,25045.96875
254000,25171.46875
256000,25267.59375
258000,25489.625
260000,25689.25
262000,25826.796875
264000,26017.6875
266000,26181.0
268000,26363.09375
270000,26613.0625
272000,26797.3359375
274000,26972.2265625
276000,27130.50390625
278000,27306.1953125
280000,27458.4375
282000,27698.171875
284000,27857.6171875
286000,28127.7109375
288000,28275.7578125
290000,28475.734375
292000,28656.6875
294000,28828.203125
296000,29051.6171875
298000,29229.90625
300000,29519.953125
302000,29757.2421875
304000,29932.234375
306000,30261.65625
308000,30479.625
310000,30713.78125
312000,30929.46875
314000,31169.53125
316000,31393.0625
318000,31598.59375
320000,31843.9375
322000,32095.0
324000,32247.59375
326000,32479.4375
328000,32797.125
330000,33066.0
332000,33064.53125
334000,33352.4375
336000,33594.875
338000,33790.46875
340000,34005.75
342000,34303.484375
344000,34508.984375
346000,34639.671875
348000,34924.546875
350000,35135.625
352000,35318.578125
354000,35572.375
356000,35810.40625
358000,36031.09375
360000,36295.625
362000,36507.1875
364000,36728.71875
366000,36951.84375
368000,37206.09375
370000,37499.21875
372000,37737.1533203125
374000,37988.6171875
376000,38208.4765625
378000,38367.734375
380000,38635.7265625
382000,38799.1015625
384000,39067.5
386000,39340.921875
388000,39502.53125
390000,39711.0
392000,39961.34375
394000,40281.21875
396000,40334.0
398000,40666.90625
400000,40786.5
402000,41083.875
404000,41263.9375
406000,41513.5
408000,41727.9375
410000,42014.0
412000,42087.0625
414000,42384.1875
416000,42740.5625
418000,42892.5625
420000,43103.40625
422000,43201.125
424000,43353.90625
426000,43471.0625
428000,43659.4375
430000,43901.875
432000,44172.875
434000,44259.15625
436000,44521.78125
438000,44816.0
440000,45082.9375
442000,45230.34375
444000,45309.1875
446000,45551.125
448000,45806.3125
450000,45965.5625
452000,46254.25
454000,46465.0625
456000,46703.9375
458000,46836.0
460000,47019.0625
462000,47113.53125
464000,47621.53125
466000,47880.875
468000,48065.53125
470000,48290.5390625
472000,48476.796875
474000,48704.6484375
476000,48891.640625
478000,49055.328125
480000,49157.25
482000,49438.0
484000,49789.9375
486000,49891.21875
488000,50054.25
490000,50413.1875
492000,50509.5
494000,50691.9375
496000,50857.4375
498000,51120.125
500000,51238.25
502000,51490.6875
504000,51766.25
506000,52045.0625
508000,52316.0625
510000,52443.125
512000,52770.9375
514000,53219.0
516000,53413.75
518000,53677.875
520000,53715.8125
522000,54102.125
524000,54338.5625
526000,54607.125
528000,54731.875
530000,54674.625
532000,54793.9375
534000,54866.625
536000,54949.0625
538000,54944.25
540000,55232.8125
542000,55536.25
544000,55790.4375
546000,56020.3125
548000,56255.6875
550000,56509.375
552000,56542.0
554000,56673.625
556000,56840.5
558000,57137.75
560000,57387.4375
562000,57689.0625
564000,57853.75
566000,58013.5
568000,58146.75
570000,58400.3125
572000,58649.75
574000,58871.375
576000,59135.5
578000,59341.375
580000,59469.375
582000,59690.625
584000,59883.6875
586000,60022.8125
588000,60270.25
590000,60547.4375
592000,60546.125
594000,60669.9375
596000,61057.5625
598000,61369.125
600000,61557.5625
602000,61763.5
604000,61959.25
606000,62427.875
608000,62620.5
610000,62777.5
612000,62923.5625
614000,62992.25
616000,63319.6875
618000,63446.625
620000,63695.5
622000,64050.625
624000,64173.5625
626000,64246.875
628000,64419.625
630000,64433.375
632000,64660.125
634000,64755.375
636000,64964.8125
638000,65078.3125
640000,65030.4375
642000,65174.375
644000,65189.0
646000,65430.375
648000,65701.375
650000,66196.9375
652000,66555.5
654000,66827.375
656000,67196.9375
658000,67281.625
660000,67489.875
662000,67677.125
664000,67963.5
666000,67929.125
668000,68077.625
670000,68226.3125
672000,68273.875
674000,68257.75
676000,68699.1875
678000,68861.25
680000,69025.375
682000,69312.75
684000,69537.5625
686000,69791.125
688000,70037.8125
690000,70245.5
692000,70534.625
694000,70994.5
696000,71228.3125
698000,71476.4375
700000,71677.6875
702000,72009.0625
704000,72390.875
706000,72391.375
708000,72850.3125
710000,73036.4375
712000,73229.4375
714000,73350.125
716000,73522.3125
718000,73626.375
720000,73857.34375
722000,74011.875
724000,74161.75
726000,74385.3125
728000,74589.96875
730000,74743.1875
732000,74917.15625
734000,75159.1875
736000,75361.4375
738000,75471.4375
740000,75792.78125
742000,76033.71875
744000,76266.3125
746000,76419.21875
748000,76517.4375
750000,76568.3125
752000,76703.9375
754000,76855.96875
756000,76982.375
758000,77136.84375
760000,77333.625
762000,77324.1875
764000,77494.125
766000,77818.75
768000,77988.875
770000,78125.25
772000,78357.5625
774000,78383.8125
776000,78549.375
778000,78662.125
780000,78947.75
782000,79040.75
784000,79209.9375
786000,79422.5625
788000,79744.0
790000,79804.125
792000,79979.125
794000,80123.375
796000,80427.75
798000,80579.8125
800000,80724.0
802000,81009.5
804000,81333.9375
806000,81559.25
808000,81721.75
810000,82008.25
812000,82330.5
814000,82598.4375
816000,82877.6875
818000,82926.0
820000,82956.75
822000,83012.375
824000,83258.6875
826000,83625.625
828000,83891.4375
830000,84202.625
832000,84550.625
834000,84706.9375
836000,84945.25
838000,85210.625
840000,85688.09375
842000,85863.125
844000,85981.21875
846000,86119.84375
848000,86245.46875
850000,86569.09375
852000,86771.6875
854000,86948.9375
856000,87169.1875
858000,87480.0625
860000,87654.0
862000,87735.46875
864000,88070.1875
866000,88295.625
868000,88336.8125
870000,88509.0625
872000,88800.5
874000,88979.9375
876000,89244.375
878000,89400.375
880000,89485.25
882000,89531.5
884000,89865.5625
886000,90072.25
888000,90339.5
890000,90644.8125
892000,90942.5
894000,91103.4375
896000,91264.125
898000,91501.6875
900000,91926.1875
902000,91955.875
904000,92003.125
906000,92137.3125
908000,92323.0
910000,92551.9375
912000,92803.625
914000,92957.0
916000,93275.125
918000,93516.75
920000,93784.1875
922000,93998.875
924000,94248.9375
926000,94414.9375
928000,94627.125
930000,94939.03125
932000,95117.375
934000,95410.09375
936000,95545.96875
938000,95726.5
940000,95935.21875
942000,96136.0
944000,96280.9375
946000,96537.625
948000,96836.71875
950000,97008.84375
952000,97242.09375
954000,97317.21875
956000,97543.75
958000,97583.4375
960000,97880.625
962000,98061.125
964000,98199.25
966000,98326.9375
968000,98369.6875
970000,98348.875
972000,98520.25
974000,98768.625
976000,99118.3125
978000,99241.875
980000,99474.25
982000,99571.375
984000,99787.25
986000,99940.6875
988000,100199.9375
990000,100155.375
992000,100339.9375
994000,100574.0625
996000,100785.75
998000,101044.9375
